nanoseconds
82724800
83713200
87030700
84007200
81952200
82343400
82768200
81682900
89153500
81319500
88755300
84627200
81975600
84442300
80426700
81741500
83667400
86845100
84259600
80595900
80826200
86626600
83745700
90775400
86261000
83205900
85242500
86255500
85362000
88608700
85764600
88128700
88211300
87012300
84580900
90455900
79821700
82260000
81140800
85460200
90175400
111453600
105253900
104868000
100280100
101193600
89789900
85935800
89667400
86345500
93087900
99507500
96650000
100424500
112970300
93241200
110831800
98838600
103393700
100638800
98412600
91295300
98140900
100410300
105785600
123060900
89985500
101817900
87750000
102706600
111997800
93611700
95995100
96046500
92369100
98786100
95906100
86100800
89887000
101390200
91389100
93546200
88418000
85409200
98190600
103223400
93330800
107421500
110653900
90101600
98553000
95659100
86385600
89479400
88429800
98126600
94089700
95041000
106812500
86249200
