size;resolution;mask_size;nanoseconds
5;1280x720;13x13;13417100
5;1280x720;15x15;16554300
4;640x360;3x3;2299400
4;640x360;5x5;2113000
4;640x360;7x7;2230400
4;640x360;9x9;2519900
4;640x360;11x11;2976900
4;640x360;13x13;3254400
4;640x360;15x15;4119100
3;320x180;3x3;1172800
3;320x180;5x5;1178300
3;320x180;7x7;1463100
3;320x180;9x9;1514900
3;320x180;11x11;1536300
3;320x180;13x13;1598600
3;320x180;15x15;1742200
2;160x90;3x3;5687800
2;160x90;5x5;993000
2;160x90;7x7;1000100
2;160x90;9x9;1029900
2;160x90;11x11;1053700
2;160x90;13x13;1103400
2;160x90;15x15;1193900
1;80x45;3x3;856700
1;80x45;5x5;892000
1;80x45;7x7;946200
1;80x45;9x9;1210100
1;80x45;11x11;1137300
1;80x45;13x13;1000300
1;80x45;15x15;1063900
5;1280x720;3x3;7044200
5;1280x720;5x5;10228900
5;1280x720;7x7;7989700
5;1280x720;9x9;8870400
5;1280x720;11x11;10440600
5;1280x720;13x13;12340400
5;1280x720;15x15;14582800
4;640x360;3x3;2026100
4;640x360;5x5;2059600
4;640x360;7x7;2176800
4;640x360;9x9;2631200
4;640x360;11x11;2768900
4;640x360;13x13;3125100
4;640x360;15x15;3325200
3;320x180;3x3;1140100
3;320x180;5x5;1071700
3;320x180;7x7;1133800
3;320x180;9x9;1211900
3;320x180;11x11;1269100
3;320x180;13x13;1409300
3;320x180;15x15;1564100
2;160x90;3x3;1052500
2;160x90;5x5;1080100
2;160x90;7x7;1112500
2;160x90;9x9;1147700
2;160x90;11x11;1167400
2;160x90;13x13;1193400
2;160x90;15x15;1384500
1;80x45;3x3;1062300
1;80x45;5x5;1131800
1;80x45;7x7;716100
1;80x45;9x9;762900
1;80x45;11x11;686600
1;80x45;13x13;1124600
1;80x45;15x15;1080000
5;1280x720;3x3;7092500
5;1280x720;5x5;7976000
5;1280x720;7x7;9321300
5;1280x720;9x9;11485700
5;1280x720;11x11;19132300
5;1280x720;13x13;20791600
5;1280x720;15x15;27640400
4;640x360;3x3;2565300
4;640x360;5x5;2386100
4;640x360;7x7;2997100
4;640x360;9x9;3272200
4;640x360;11x11;3857400
4;640x360;13x13;4117100
4;640x360;15x15;4715100
3;320x180;3x3;1273400
3;320x180;5x5;1306400
3;320x180;7x7;1285200
3;320x180;9x9;1413200
3;320x180;11x11;1468000
3;320x180;13x13;1643400
3;320x180;15x15;1731400
2;160x90;3x3;1133100
2;160x90;5x5;788400
2;160x90;7x7;778800
2;160x90;9x9;894000
2;160x90;11x11;880600
2;160x90;13x13;1290500
2;160x90;15x15;1385600
1;80x45;3x3;1012400
1;80x45;5x5;1022000
1;80x45;7x7;1072400
1;80x45;9x9;1157200
1;80x45;11x11;1084500
1;80x45;13x13;1139100
1;80x45;15x15;1173100
5;1280x720;3x3;6639200
5;1280x720;5x5;7453100
5;1280x720;7x7;8275300
5;1280x720;9x9;9740100
5;1280x720;11x11;11816000
5;1280x720;13x13;13497800
5;1280x720;15x15;15912900
4;640x360;3x3;2052100
4;640x360;5x5;2036600
4;640x360;7x7;2249500
4;640x360;9x9;2538400
4;640x360;11x11;2934900
4;640x360;13x13;3392700
4;640x360;15x15;3655700
3;320x180;3x3;1121700
3;320x180;5x5;1084100
3;320x180;7x7;1147000
3;320x180;9x9;1247100
3;320x180;11x11;1330700
3;320x180;13x13;1451300
3;320x180;15x15;1590900
2;160x90;3x3;960500
2;160x90;5x5;979800
2;160x90;7x7;940100
2;160x90;9x9;988600
2;160x90;11x11;1047200
2;160x90;13x13;1197000
2;160x90;15x15;1272600
1;80x45;3x3;518200
1;80x45;5x5;526500
1;80x45;7x7;550600
1;80x45;9x9;577600
1;80x45;11x11;628200
1;80x45;13x13;1076900
1;80x45;15x15;1057600
5;1280x720;3x3;4584900
5;1280x720;5x5;4566300
5;1280x720;7x7;5161100
5;1280x720;9x9;6151100
5;1280x720;11x11;7824300
5;1280x720;13x13;9626100
5;1280x720;15x15;11649400
4;640x360;3x3;1569700
